date, price
2020-01-21,27.2
2020-01-22,27.32
2020-01-23,28.8
2020-01-24,27.64
2020-01-27,26.11
2020-01-28,26.9
2020-01-29,26.8
2020-01-30,27.72
2020-01-31,26.84
2020-02-03,27.16
2020-02-04,28.43
2020-02-05,29.1
2020-02-06,28.3
2020-02-07,28.38
2020-02-10,28.79
2020-02-11,29.84
2020-02-12,30.47
2020-02-13,30.09
2020-02-14,29.2
2020-02-18,28.63
2020-02-19,28.33
2020-02-20,28.51
2020-02-21,27.82
2020-02-24,25.45
2020-02-25,23.12
2020-02-26,22.31
2020-02-27,20.6
2020-02-28,19.05
2020-03-02,18.86
2020-03-03,17.85
2020-03-04,18.53
2020-03-05,16.04
2020-03-06,15.97
2020-03-09,14.75
2020-03-10,17
2020-03-11,16.26
2020-03-12,13.45
2020-03-13,14.31
2020-03-16,15.92
2020-03-17,15.58
2020-03-18,11.65
2020-03-19,10.29
2020-03-20,10.38
2020-03-23,10.25
2020-03-24,13.92
2020-03-25,15.39
2020-03-26,15.66
2020-03-27,14.04
2020-03-30,12.25
2020-03-31,12.19
2020-04-01,10.69
2020-04-02,10.06
2020-04-03,9.39
2020-04-06,9.5
2020-04-07,10.22
2020-04-08,11.33
2020-04-09,12.51
2020-04-13,11.56
2020-04-14,11.945
2020-04-15,12.29
2020-04-16,11.07
2020-04-17,11.57
2020-04-20,11.06
2020-04-21,11
2020-04-22,10.27
2020-04-23,10.25
2020-04-24,10.31
2020-04-27,10.02
2020-04-28,11.26
2020-04-29,12.63
2020-04-30,12.01
2020-05-01,10.64
2020-05-04,9.82
2020-05-05,9.51
2020-05-06,9.25
2020-05-07,9.54
2020-05-08,10.14
2020-05-11,10.1
2020-05-12,9.65
2020-05-13,9.11
2020-05-14,9.15
2020-05-15,9.04
2020-05-18,9.87
2020-05-19,9.64
2020-05-20,9.87
2020-05-21,9.89
2020-05-22,9.7
2020-05-26,11.14
2020-05-27,11.98
2020-05-28,10.98
2020-05-29,10.5
2020-06-01,11.11
2020-06-02,11.22
2020-06-03,11.85
2020-06-04,16.72
2020-06-05,18.59
2020-06-08,20.31
2020-06-09,18.55
2020-06-10,17.02
2020-06-11,14.38
2020-06-12,16.74
2020-06-15,16.7
2020-06-16,17.03
2020-06-17,16.98
2020-06-18,16.49
2020-06-19,16
2020-06-22,14.92
2020-06-23,14
2020-06-24,13.04
2020-06-25,13.17
2020-06-26,12.38
2020-06-29,13.32
2020-06-30,13.07
2020-07-01,12.81
2020-07-02,12.5
2020-07-06,12.8
2020-07-07,11.91
2020-07-08,11.99
2020-07-09,11.18
2020-07-10,11.94
2020-07-13,11.63
2020-07-14,11.57
2020-07-15,13.44
2020-07-16,12.45
